Airline,Source,Destination,Route,Total_Stops,Additional_Info,Price,year_of_Journey,month_of_Journey,day_of_Journey,Duration_minute
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2,No info,13292,2019,6,9,910
IndiGo,Delhi,Cochin,DEL → LKO → COK,1,No info,8238,2019,6,1,345
GoAir,Delhi,Cochin,DEL → BOM → COK,1,No info,7682,2019,5,15,355
Vistara,Banglore,Delhi,BLR → DEL,0,No info,4668,2019,6,18,170
Vistara,Chennai,Kolkata,MAA → CCU,0,No info,3687,2019,6,15,135
Vistara,Chennai,Kolkata,MAA → CCU,0,No info,3687,2019,6,18,135
Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,2,No info,13227,2019,5,1,805
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4423,2019,4,6,170
Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,2,In-flight meal not included,10919,2019,6,15,1320
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12373,2019,5,18,330
IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,5894,2019,6,27,625
SpiceJet,Kolkata,Banglore,CCU → MAA → BLR,1,No info,4649,2019,5,21,315
Air India,Kolkata,Banglore,CCU → BLR,0,No info,6245,2019,5,18,150
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,19225,2019,3,6,375
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,14924,2019,6,3,715
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1,No info,9646,2019,5,21,665
Air India,Banglore,New Delhi,BLR → BOM → DEL,1,No info,8714,2019,3,15,510
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12373,2019,5,18,1325
Air Asia,Banglore,Delhi,BLR → DEL,0,No info,3383,2019,5,6,165
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,13062,2019,3,21,720
SpiceJet,Banglore,New Delhi,BLR → DEL,0,No check-in baggage included,3527,2019,3,24,170
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,2019,5,27,170
Air India,Chennai,Kolkata,MAA → CCU,0,No info,4667,2019,5,3,135
Air India,Kolkata,Banglore,CCU → HYD → BLR,1,No info,6117,2019,5,15,965
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,In-flight meal not included,11150,2019,6,27,1195
Jet Airways,Delhi,Cochin,DEL → COK,0,In-flight meal not included,7202,2019,3,9,195
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,No info,12121,2019,5,1,1520
IndiGo,Banglore,New Delhi,BLR → DEL,0,No info,4377,2019,3,24,170
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,2019,6,18,180
Air Asia,Banglore,Delhi,BLR → DEL,0,No info,4483,2019,4,3,170
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14231,2019,3,24,975
Air India,Banglore,New Delhi,BLR → BOM → AMD → DEL,2,No info,17345,2019,3,1,905
Vistara,Chennai,Kolkata,MAA → CCU,0,No info,7414,2019,3,6,135
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,8073,2019,5,6,390
Vistara,Mumbai,Hyderabad,BOM → DEL → HYD,1,No info,12395,2019,3,6,1505
Air India,Kolkata,Banglore,CCU → BOM → BLR,1,No info,8366,2019,6,6,745
Air India,Delhi,Cochin,DEL → MAA → COK,1,No info,5117,2019,4,3,1640
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,12524,2019,6,3,615
IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,7191,2019,5,15,630
Vistara,Chennai,Kolkata,MAA → CCU,0,No info,3687,2019,5,24,135
IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,5894,2019,6,24,625
Vistara,Banglore,Delhi,BLR → DEL,0,No info,5403,2019,4,24,170
Air India,Mumbai,Hyderabad,BOM → HYD,0,No info,3625,2019,5,6,90
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,2,No info,10861,2019,5,21,800
IndiGo,Chennai,Kolkata,MAA → CCU,0,No info,6297,2019,3,12,135
Jet Airways,Mumbai,Hyderabad,BOM → HYD,0,No info,5678,2019,6,1,85
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,9134,2019,3,9,1590
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10791,2019,6,24,440
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,12819,2019,6,24,810
IndiGo,Delhi,Cochin,DEL → BLR → COK,1,No info,6893,2019,3,21,300
Vistara,Banglore,New Delhi,BLR → DEL,0,No info,7240,2019,3,9,165
GoAir,Banglore,Delhi,BLR → DEL,0,No info,3898,2019,4,3,170
IndiGo,Mumbai,Hyderabad,BOM → HYD,0,No info,4049,2019,4,3,90
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,2019,6,15,1145
SpiceJet,Chennai,Kolkata,MAA → CCU,0,No check-in baggage included,3332,2019,3,21,135
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,2019,6,9,890
Jet Airways,Banglore,New Delhi,BLR → DEL,0,No info,7229,2019,3,24,160
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,13941,2019,5,6,1330
IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,5894,2019,6,27,575
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,10197,2019,5,18,600
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,13712,2019,3,6,1280
IndiGo,Delhi,Cochin,DEL → MAA → COK,1,No info,5636,2019,6,24,325
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2,No info,13014,2019,6,6,1125
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,7064,2019,4,1,740
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,In-flight meal not included,10703,2019,5,24,1080
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1,No info,9646,2019,5,27,555
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,17057,2019,3,6,665
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,13817,2019,3,12,1050
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,2,No info,13748,2019,3,6,800
Air India,Kolkata,Banglore,CCU → BLR,0,No info,4880,2019,4,21,155
IndiGo,Chennai,Kolkata,MAA → CCU,0,No info,3540,2019,6,21,145
SpiceJet,Banglore,Delhi,BLR → DEL,0,No check-in baggage included,3257,2019,5,15,160
Jet Airways,Banglore,Delhi,BLR → DEL,0,In-flight meal not included,6478,2019,6,3,180
Jet Airways,Mumbai,Hyderabad,BOM → HYD,0,No info,8040,2019,6,18,85
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,2,No info,14300,2019,6,12,995
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14781,2019,5,15,740
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14939,2019,6,9,735
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,2019,6,24,450
Air India,Kolkata,Banglore,CCU → MAA → BLR,1,No info,6528,2019,5,12,1440
Air India,Banglore,Delhi,BLR → DEL,0,No info,6121,2019,5,1,165
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2,In-flight meal not included,13029,2019,5,18,535
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,11421,2019,3,27,430
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,7574,2019,3,27,870
Air India,Delhi,Cochin,DEL → JDH → BOM → COK,2,No info,11596,2019,5,9,1820
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,15129,2019,5,24,1195
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,5780,2019,4,12,175
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1,No info,9397,2019,5,12,765
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,17024,2019,3,6,610
GoAir,Delhi,Cochin,DEL → BOM → COK,1,No info,5281,2019,6,27,355
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1,No info,10348,2019,5,18,925
Air India,Delhi,Cochin,DEL → MAA → COK,1,No info,12677,2019,3,6,965
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,15147,2019,3,3,610
Vistara,Banglore,Delhi,BLR → DEL,0,No info,4668,2019,6,12,160
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,15554,2019,5,9,715
SpiceJet,Banglore,Delhi,BLR → DEL,0,No info,3971,2019,4,9,160
Air India,Mumbai,Hyderabad,BOM → HYD,0,No info,3100,2019,5,3,85
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,9663,2019,5,6,845
Air India,Delhi,Cochin,DEL → BOM → COK,1,No info,27430,2019,3,1,1215
IndiGo,Chennai,Kolkata,MAA → CCU,0,No info,3540,2019,5,12,145
Air India,Kolkata,Banglore,CCU → BBI → BOM → BLR,2,No info,10676,2019,5,21,1390
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,13044,2019,6,12,1090
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14388,2019,5,6,960
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,2019,6,24,170
IndiGo,Chennai,Kolkata,MAA → CCU,0,No info,3597,2019,6,3,140
Air India,Banglore,New Delhi,BLR → MAA → DEL,1,No info,5932,2019,3,21,480
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,2019,6,15,1015
Vistara,Delhi,Cochin,DEL → COK,0,No info,6216,2019,5,12,190
IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4804,2019,6,15,165
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,14067,2019,5,21,840
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,15129,2019,5,18,1430
Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,2,No info,13376,2019,6,6,1300
Air India,Delhi,Cochin,DEL → GOI → BOM → COK,2,No info,10441,2019,6,27,1275
Jet Airways,Banglore,Delhi,BLR → DEL,0,In-flight meal not included,4030,2019,5,24,165
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,17024,2019,3,3,650
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,13017,2019,4,9,480
GoAir,Kolkata,Banglore,CCU → BOM → BLR,1,No info,6686,2019,6,6,495
IndiGo,Delhi,Cochin,DEL → MAA → COK,1,No info,5636,2019,6,15,325
IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,6442,2019,6,9,515
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1,No info,9486,2019,5,21,710
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,2019,5,21,1655
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,2,In-flight meal not included,15318,2019,6,3,505
Air India,Delhi,Cochin,DEL → MAA → COK,1,No info,5117,2019,4,3,1255
IndiGo,Delhi,Cochin,DEL → BLR → COK,1,No info,6147,2019,6,24,290
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,7005,2019,6,9,490
SpiceJet,Kolkata,Banglore,CCU → BLR,0,No info,3873,2019,4,3,140
Jet Airways,Delhi,Cochin,DEL → BDQ → BOM → COK,2,In-flight meal not included,9270,2019,3,21,1465
GoAir,Banglore,Delhi,BLR → DEL,0,No info,3898,2019,6,27,170
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14781,2019,5,12,740
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,8586,2019,5,24,735
Air India,Kolkata,Banglore,CCU → JAI → BOM → BLR,2,No info,10697,2019,5,9,1415
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,2,No info,14300,2019,6,27,995
IndiGo,Banglore,New Delhi,BLR → DEL,0,No info,8855,2019,3,3,170
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,2019,5,12,1545
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,17024,2019,3,6,1570
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,In-flight meal not included,9314,2019,5,1,1730
IndiGo,Banglore,New Delhi,BLR → DEL,0,No info,4777,2019,3,24,165
Air India,Kolkata,Banglore,CCU → BBI → BLR,1,No info,7662,2019,6,9,1515
IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,6442,2019,5,9,560
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,1,No info,5264,2019,6,12,270
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12898,2019,5,27,925
Air India,Mumbai,Hyderabad,BOM → HYD,0,No info,6092,2019,3,3,90
SpiceJet,Banglore,Delhi,BLR → DEL,0,No info,3311,2019,5,21,160
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,6540,2019,3,27,550
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3419,2019,5,27,165
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,5177,2019,4,3,1355
Air India,Delhi,Cochin,DEL → COK,0,No info,8246,2019,4,18,185
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,No info,14676,2019,6,9,690
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,13587,2019,6,27,570
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,9663,2019,5,6,730
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,13044,2019,6,12,1055
IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,5073,2019,4,3,305
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1,No info,9345,2019,5,21,1550
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,9663,2019,5,6,1200
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,14277,2019,5,21,780
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,2019,6,1,1105
Jet Airways,Mumbai,Hyderabad,BOM → HYD,0,No info,5678,2019,3,27,90
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,13727,2019,5,15,570
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,9663,2019,5,6,960
IndiGo,Chennai,Kolkata,MAA → CCU,0,No info,3858,2019,5,12,140
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,1,No info,4812,2019,6,24,270
IndiGo,Delhi,Cochin,DEL → LKO → COK,1,No info,5775,2019,6,27,345
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,In-flight meal not included,10539,2019,6,6,1450
IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4804,2019,6,3,155
Air Asia,Banglore,Delhi,BLR → DEL,0,No info,3383,2019,6,12,165
IndiGo,Banglore,New Delhi,BLR → HYD → DEL,1,No info,8738,2019,3,3,295
Air India,Delhi,Cochin,DEL → TRV → COK,1,No info,7165,2019,3,27,1535
IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,6412,2019,6,24,380
Jet Airways,Banglore,Delhi,BLR → DEL,0,No info,8016,2019,6,27,185
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,11087,2019,3,12,1120
SpiceJet,Chennai,Kolkata,MAA → CCU,0,No check-in baggage included,3543,2019,6,27,135
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,12471,2019,6,12,730
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,2019,6,24,1165
Air India,Banglore,New Delhi,BLR → DEL,0,No info,4441,2019,3,18,170
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,12537,2019,3,27,505
GoAir,Kolkata,Banglore,CCU → BOM → BLR,1,No info,10091,2019,3,24,555
Air India,Banglore,Delhi,BLR → DEL,0,No info,6961,2019,6,3,170
IndiGo,Delhi,Cochin,DEL → COK,0,No info,5013,2019,4,24,195
Air India,Delhi,Cochin,DEL → COK,0,No info,6934,2019,5,18,170
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,10877,2019,6,3,740
Jet Airways,Banglore,Delhi,BLR → DEL,0,No info,7229,2019,4,18,175
IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,7048,2019,3,27,575
Vistara,Banglore,Delhi,BLR → DEL,0,No info,4878,2019,6,27,155
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,2019,5,21,570
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,15129,2019,5,18,1760
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,2019,5,12,175
SpiceJet,Delhi,Cochin,DEL → MAA → COK,1,No info,5583,2019,6,6,315
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1,No info,9646,2019,6,6,545
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,7677,2019,6,3,645
IndiGo,Delhi,Cochin,DEL → BLR → COK,1,No info,6842,2019,6,1,295
Jet Airways,Mumbai,Hyderabad,BOM → HYD,0,In-flight meal not included,4995,2019,6,24,90
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1,No info,9555,2019,6,9,700
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4077,2019,6,1,165
Jet Airways,Banglore,Delhi,BLR → DEL,0,No info,7229,2019,5,12,175
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,12192,2019,6,9,600
Air India,Banglore,Delhi,BLR → DEL,0,No info,5911,2019,4,12,165
Air India,Delhi,Cochin,DEL → BOM → COK,1,No info,8372,2019,6,12,615
Jet Airways,Mumbai,Hyderabad,BOM → HYD,0,In-flight meal not included,4995,2019,3,18,85
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,14323,2019,5,9,555
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2,No info,13014,2019,6,9,1375
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,2,No info,13591,2019,6,6,1730
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2,No info,18799,2019,3,3,2245
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,2019,4,27,170
SpiceJet,Mumbai,Hyderabad,BOM → HYD,0,No check-in baggage included,1965,2019,5,21,90
Jet Airways,Mumbai,Hyderabad,BOM → HYD,0,In-flight meal not included,4995,2019,5,27,90
Air India,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14641,2019,3,24,1540
Air India,Kolkata,Banglore,CCU → BLR,0,No info,4460,2019,4,12,155
Air India,Delhi,Cochin,DEL → BOM → COK,1,No info,10191,2019,5,18,375
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,13843,2019,3,9,1050
IndiGo,Delhi,Cochin,DEL → LKO → COK,1,No info,6349,2019,5,1,345
Air Asia,Kolkata,Banglore,CCU → BLR,0,No info,4409,2019,5,1,155
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,17024,2019,3,6,1530
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,13727,2019,5,18,835
IndiGo,Banglore,New Delhi,BLR → DEL,0,No info,8855,2019,3,15,175
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,12524,2019,6,24,615
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,13555,2019,3,18,520
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,2019,6,6,330
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,13587,2019,6,9,720
SpiceJet,Chennai,Kolkata,MAA → CCU,0,No check-in baggage included,3543,2019,6,12,135
Vistara,Chennai,Kolkata,MAA → CCU,0,No info,4842,2019,3,18,135
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,2019,4,24,170
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10577,2019,6,9,550
IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,6979,2019,5,15,625
Vistara,Chennai,Kolkata,MAA → CCU,0,No info,11982,2019,6,27,140
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,1,No info,5264,2019,6,6,270
Vistara,Delhi,Cochin,DEL → COK,0,No info,8001,2019,3,3,190
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,10651,2019,6,1,1410
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,2019,5,24,1640
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1,No info,6601,2019,3,27,755
Air India,Delhi,Cochin,DEL → BOM → COK,1,No info,6587,2019,3,21,1455
SpiceJet,Mumbai,Hyderabad,BOM → HYD,0,No info,3173,2019,3,21,80
Air India,Banglore,Delhi,BLR → DEL,0,No info,5228,2019,5,9,165
Jet Airways,Banglore,Delhi,BLR → DEL,0,In-flight meal not included,5769,2019,6,21,180
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,14714,2019,6,6,660
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2,No info,13014,2019,6,3,810
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3359,2019,6,3,170
GoAir,Banglore,New Delhi,BLR → DEL,0,No info,6722,2019,3,3,175
IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4462,2019,3,18,165
IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,6171,2019,3,9,675
Air India,Kolkata,Banglore,CCU → IXR → DEL → BLR,2,No info,12303,2019,5,21,875
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,7695,2019,3,21,835
IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,5684,2019,6,24,845
Air India,Kolkata,Banglore,CCU → BOM → BLR,1,No info,8366,2019,6,12,905
Air India,Chennai,Kolkata,MAA → CCU,0,No info,19630,2019,3,1,135
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,13502,2019,3,6,900
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14781,2019,5,1,775
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1,No info,6513,2019,6,12,540
Air India,Delhi,Cochin,DEL → BOM → COK,1,No info,9929,2019,6,1,735
Multiple carriers,Delhi,Cochin,DEL → IXU → BOM → COK,2,No info,18275,2019,6,6,460
Air India,Delhi,Cochin,DEL → MAA → COK,1,No info,4487,2019,4,9,1640
IndiGo,Mumbai,Hyderabad,BOM → HYD,0,No info,2754,2019,3,15,85
Air India,Mumbai,Hyderabad,BOM → HYD,0,No info,2575,2019,3,27,80
SpiceJet,Kolkata,Banglore,CCU → IXB → BLR,1,No info,8224,2019,6,12,330
Air India,Delhi,Cochin,DEL → BLR → COK,1,No info,8991,2019,3,9,705
IndiGo,Delhi,Cochin,DEL → COK,0,No info,5000,2019,6,24,195
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,8529,2019,6,12,1495
Air India,Delhi,Cochin,DEL → MAA → COK,1,No info,14042,2019,3,3,1640
Jet Airways,Banglore,Delhi,BLR → DEL,0,In-flight meal not included,4030,2019,5,24,175
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,2019,6,6,1025
IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4804,2019,5,6,160
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,7308,2019,5,27,480
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4823,2019,5,12,180
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,2019,6,24,1655
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12898,2019,5,27,450
Air India,Banglore,New Delhi,BLR → BOM → JDH → DEL,2,No info,12778,2019,3,12,1375
IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,14871,2019,3,3,515
Air India,Delhi,Cochin,DEL → UDR → BOM → COK,2,No info,8708,2019,3,21,1795
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,2019,6,6,1335
SpiceJet,Mumbai,Hyderabad,BOM → HYD,0,No info,4129,2019,3,6,80
IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4804,2019,5,18,160
Jet Airways,Banglore,Delhi,BLR → DEL,0,No info,7229,2019,5,6,180
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,7832,2019,3,21,730
SpiceJet,Chennai,Kolkata,MAA → CCU,0,No info,3859,2019,3,18,155
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,9001,2019,6,6,705
Vistara,Banglore,Delhi,BLR → DEL,0,No info,4878,2019,5,9,155
IndiGo,Mumbai,Hyderabad,BOM → HYD,0,No info,2754,2019,5,3,90
Vistara,Banglore,Delhi,BLR → DEL,0,No info,4668,2019,6,27,160
Air Asia,Kolkata,Banglore,CCU → BLR,0,No info,5216,2019,5,12,155
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2,In-flight meal not included,10368,2019,6,6,1375
IndiGo,Delhi,Cochin,DEL → HYD → MAA → COK,2,No info,8146,2019,3,9,880
